,0
246,2275.0
247,2320.0
248,2289.0
249,2316.0
250,2380.0
251,2400.0
252,2419.0
253,2473.0
254,2519.0
255,2790.0
256,2836.0
257,2778.0
258,2739.0
259,2753.0
260,2816.0
261,2895.0
262,2782.0
263,2741.0
264,2735.0
265,2763.0
266,2725.0
267,2636.0
268,2649.0
269,2630.0
270,2680.0
271,2532.0
272,2529.0
273,2473.0
274,2426.0
275,2397.0
276,2380.0
277,2406.0
278,2380.0
279,2288.0
280,2239.0
281,2187.0
282,2217.0
283,2185.0
284,2154.0
285,2103.0
286,2132.0
287,2180.0
288,2170.0
289,2141.0
290,2207.0
291,2196.0
292,2242.0
293,2093.0
294,2147.0
295,2215.0
296,2271.0
297,2287.0
298,2327.0
299,2285.0
300,2324.0
301,2379.0
302,2420.0
303,2456.0
304,2482.0
305,2529.0
306,2833.0
307,2812.0
308,2736.0
309,2872.0
310,2743.0
311,2872.0
312,2916.0
313,2804.0
314,2743.0
315,2764.0
316,2754.0
317,2750.0
318,2647.0
319,2589.0
320,2673.0
321,2640.0
322,2483.0
323,2516.0
324,2437.0
325,2409.0
326,2411.0
327,2407.0
328,2374.0
329,2357.0
330,2246.0
331,2217.0
332,2124.0
333,2190.0
334,2127.0
335,2110.0
336,2131.0
337,2159.0
338,2200.0
339,2138.0
340,2162.0
341,2174.0
342,2224.0
343,2191.0
344,2105.0
345,2172.0
346,2261.0
347,2273.0
348,2331.0
349,2337.0
350,2321.0
351,2350.0
352,2388.0
353,2438.0
354,2450.0
355,2470.0
356,2553.0
357,2870.0
358,2785.0
359,2683.0
360,2884.0
361,2826.0
362,2842.0
363,2866.0
364,2812.0
365,2762.0
366,2794.0
367,2697.0
368,2722.0
369,2629.0
370,2616.0
371,2676.0
372,2652.0
373,2520.0
374,2482.0
375,2417.0
376,2393.0
377,2387.0
378,2427.0
379,2381.0
380,2341.0
381,2237.0
382,2185.0
383,2094.0
384,2144.0
385,2150.0
386,2139.0
387,2135.0
388,2176.0
389,2197.0
390,2140.0
391,2146.0
392,2142.0
393,2224.0
394,2137.0
395,2135.0
396,2212.0
397,2290.0
398,2294.0
399,2326.0
400,2313.0
401,2320.0
402,2372.0
403,2410.0
404,2446.0
405,2475.0
406,2518.0
407,2612.0
408,2860.0
409,2771.0
410,2712.0
411,2772.0
412,2834.0
413,2869.0
414,2798.0
415,2782.0
416,2774.0
417,2791.0
418,2723.0
419,2705.0
420,2627.0
421,2592.0
422,2682.0
423,2572.0
424,2543.0
425,2464.0
426,2418.0
427,2391.0
428,2382.0
429,2400.0
430,2366.0
431,2289.0
432,2228.0
433,2199.0
434,2105.0
435,2189.0
436,2140.0
437,2148.0
438,2139.0
439,2174.0
440,2171.0
441,2140.0
442,2160.0
443,2183.0
444,2215.0
445,2124.0
446,2181.0
447,2278.0
448,2285.0
449,2308.0
450,2333.0
451,2303.0
452,2318.0
453,2374.0
454,2424.0
455,2464.0
456,2477.0
457,2520.0
458,2607.0
459,2790.0
460,2756.0
461,2872.0
462,2754.0
